Sample,SPECIES,plant,treat,ABUNDANCE,TOTAL TIME,SAMPLE WT (G),TOTAL PLANT WT,vaccum,min
ARCA1,ARCA,1,C,7,15,7.827,791,0.102777778,2.466666667
ARCA2,ARCA,2,T,20,25,4.998,678,0.157638889,3.783333333
ARCA3,ARCA,3,T,30,50,4.544,678,0.127083333,3.05
ARCA4,ARCA,4,T,18,25,5.932,791,0.159027778,3.816666667
ARCA5,ARCA,5,C,19,35,8.675,565,0.15,3.6
ARCA6,ARCA,6,T,32,40,9.91,904,0.147916667,3.55
ARCA7,ARCA,7,T,10,20,7.983,1017,0.140972222,3.383333333
ARCA8,ARCA,8,C,14,25,6.868,791,0.15625,3.75
ARCA9,ARCA,9,T,5,20,3.209,791,0.1125,2.7
ARCA10,ARCA,10,C,12,15,4.444,904,0.145833333,3.5
ARCA11,ARCA,11,T,26,45,6.899,1130,0.165277778,3.966666667
ARCA14.1,ARCA,14.1,C,23,30,11.09,565,,
ARDO1,ARDO,1,T,32,35,8.113,279.12,0.081944444,1.966666667
ARDO3,ARDO,3,T,31,30,8,488.46,0.086805556,2.083333333
ARDO5,ARDO,5,T,7,15,1.611,279.12,0.096527778,2.316666667
ARDO6,ARDO,6,T,9,15,2.023,488.46,0.080555556,1.933333333
ARDO7,ARDO,7,T,8,15,1.766,418.68,0.093055556,2.233333333
ARDO8,ARDO,8,C,13,15,3.522,628.02,0.104166667,2.5
ARDO9,ARDO,9,C,,,,628.02,0.11875,2.85
ARDO10,ARDO,10,C,24,15,1.098,418.68,0.084027778,2.016666667
ARDO11,ARDO,11,C,25,20,3.533,348.9,0.097916667,2.35
ARDO12,ARDO,12,T,,,,279.12,0.122916667,2.95
ARDO13,ARDO,13,C,16,15,2.379,279.12,0.111111111,2.666666667
ENCA1,ENCA,1,T,8,20,,219.9,0.123611111,2.966666667
ENCA2,ENCA,2,C,10,15,6.545,703.68,0.186111111,4.466666667
ENCA3,ENCA,3,T,14,20,,615.72,0.166666667,4
ENCA4,ENCA,4,C,32,20,11.47,615.72,0.151388889,3.633333333
ENCA5,ENCA,5,C,26,15,4.747,439.8,0.123611111,2.966666667
ENCA6,ENCA,6,T,11,30,17.766,527.76,0.197916667,4.583333333
ENCA7,ENCA,7,C,16,20,17.998,659.7,0.135416667,3.25
ENCA8,ENCA,8,T,36,30,,791.64,0.197222222,4.566666667
ENCA9,ENCA,9,T,36,40,,791.64,0.197222222,4.566666667
ENCA10,ENCA,10,C,8,15,22.222,703.68,0.154166667,3.7
ENCA11,ENCA,11,C,7,15,11.491,527.76,0.184722222,4.433333333
ENCA12,ENCA,12,T,7,20,5.308,263.88,0.104166667,2.5
ENCA14,ENCA,14,T,7,20,9.761,#VALUE!,0.111111111,2.666666667
ERFA1,ERFA,1,C,30,40,23.456,564.59,0.143055556,3.433333333
ERFA2,ERFA,2,T,43,45,22.282,608.02,0.151388889,3.633333333
ERFA3,ERFA,3,T,17,25,20.992,477.73,0.104166667,2.5
ERFA4,ERFA,4,C,25,30,17.533,434.3,0.083333333,2
ERFA5,ERFA,5,T,22,30,10.943,477.73,0.170138889,4.083333333
ERFA6,ERFA,6,C,45,55,27.674,390.87,0.172916667,4.15
ERFA7,ERFA,7,C,36,45,10.366,955.46,0.184027778,4.416666667
ERFA8,ERFA,8,T,18,25,14.982,1042.32,0.145833333,3.5
ERFA9,ERFA,9,C,23,30,25.013,825.17,0.204861111,4.75
ERFA10,ERFA,10,T,36,45,4.186,477.73,0.113194444,2.716666667
ERFA11,ERFA,11,T,26,30,18.28,651.45,0.11875,2.85
ERFA12,ERFA,12,T,23,25,10.856,651.45,0.113888889,2.733333333
ERFA13,ERFA,13,T,16,35,5.252,304.01,0.092361111,2.216666667
ERPA1,ERPA,1,T,10,20,9.669,542.24,0.123611111,2.966666667
ERPA2,ERPA,2,C,,,,610.02,0.161111111,3.866666667
ERPA3,ERPA,3,T,16,35,9.576,542.24,0.102777778,2.466666667
ERPA4,ERPA,4,C,19,30,23.779,847.25,0.145138889,3.483333333
ERPA5,ERPA,5,T,11,25,36.256,813.36,0.104166667,2.5
ERPA6,ERPA,6,C,,,,305.01,0.055555556,1.333333333
ERPA7,ERPA,7,T,29,30,13.662,1152.26,0.184027778,4.416666667
ERPA8,ERPA,8,C,18,20,9.854,982.81,0.091666667,2.2
ERPA9,ERPA,9,T,3,15,16.545,610.02,0.121527778,2.916666667
ERPA10,ERPA,10,C,17,25,12.456,847.25,0.136805556,3.283333333
ERPA11,ERPA,11,T,16,30,6.26,508.35,0.110416667,2.65
ERPA12,ERPA,12,T,14,20,9.333,643.91,0.111111111,2.666666667
ERPA13,ERPA,13,T,28,25,10.743,948.92,0.168055556,4.033333333
ISME1,ISME,1,T,12,25,6.356,876.96,0.155555556,3.733333333
ISME2,ISME,2,T,,,,779.52,0.152777778,3.666666667
ISME3,ISME,3,T,7,15,4.863,876.96,0.088888889,2.133333333
ISME4,ISME,4,T,16,20,10.228,1071.84,0.138194444,3.316666667
ISME5,ISME,5,T,14,20,5.367,876.96,0.150694444,3.616666667
ISME6,ISME,6,T,13,35,8.878,584.64,0.1375,3.3
ISME7,ISME,7,T,5,15,9.677,1169.28,0.186805556,4.483333333
ISME8,ISME,8,T,24,25,7.682,682.08,0.173611111,4.166666667
ISME9,ISME,9,C,15,25,12.921,1071.84,0.128472222,3.083333333
ISME10,ISME,10,C,16,25,4.765,779.52,0.104166667,2.5
ISME11,ISME,11,C,15,20,6.096,974.4,0.138888889,3.333333333
ISME12,ISME,12,C,26,25,13.111,1364.16,0.125,3
ISME13,ISME,13,C,15,15,7.2,779.52,0.121527778,2.916666667
LUAL1,LUAL,1,T,,,,252.76,0.160416667,3.85
LUAL2,LUAL,2,C,33,35,1.458,505.52,0.090972222,2.183333333
LUAL3,LUAL,3,C,20,30,3.564,379.14,0.111805556,2.683333333
LUAL4,LUAL,4,T,6,20,10.151,505.52,0.1125,2.7
LUAL5,LUAL,5,C,20,20,9.867,315.95,0.107638889,2.583333333
LUAL6,LUAL,6,T,23,30,13.333,379.14,0.115277778,2.766666667
LUAL7,LUAL,7,T,,,,631.9,0.146527778,3.516666667
LUAL8,LUAL,8,C,9,20,13.862,568.71,0.127777778,3.066666667
LUAL9,LUAL,9,C,33,25,13.353,821.47,0.084027778,2.016666667
LUAL10,LUAL,10,T,15,25,15.044,505.52,0.127083333,3.05
LUAL11,LUAL,11,T,42,25,13.517,505.52,0.13125,3.15
LUAL12,LUAL,12,T,41,20,5.041,758.28,0.104861111,2.516666667
LUAL13,LUAL,13,T,38,20,5.249,631.9,0.095833333,2.3
SAAP1,SAAP,1,T,34,30,,1433.7,0.115972222,2.783333333
SAAP2,SAAP,2,C,32,30,,764.64,0.11875,2.85
SAAP3,SAAP,3,T,46,30,,1146.96,0.095833333,2.3
SAAP4,SAAP,4,C,31,20,,1624.86,0.188194444,4.516666667
SAAP5,SAAP,5,T,19,20,,716.85,0.110416667,2.65
SAAP6,SAAP,6,C,32,20,7.58,1146.96,0.106944444,2.566666667
SAAP7,SAAP,7,T,22,15,,860.22,0.111111111,2.666666667
SAAP8,SAAP,8,C,5,15,7.555,573.48,0.134027778,3.216666667
SAAP9,SAAP,9,T,12,15,3.5,955.8,0.10625,2.55
SAAP10,SAAP,10,T,70,30,,1529.28,0.114583333,2.75
SAAP11,SAAP,11,T,48,30,,1146.96,0.105555556,2.533333333
SAAP12,SAAP,12,C,16,15,1.286,,0.097222222,2.333333333
SAAP14,SAAP,14,C,,,,0,0.096527778,2.316666667
SAAP15,SAAP,15,T,37,30,16.134,0,0.177083333,4.25
SAME1,SAME,1,T,,,,376.5,0.138888889,3.333333333
SAME2,SAME,2,C,7,15,13.579,627.5,0.146527778,3.516666667
SAME3,SAME,3,T,24,30,15.858,502,0.178472222,4.283333333
SAME4,SAME,4,C,43,25,14.051,690.25,0.166666667,4
SAME5,SAME,5,T,25,25,15.351,313.75,0.13125,3.15
SAME6,SAME,6,C,9,15,9.333,439.25,0.145833333,3.5
SAME7,SAME,7,T,8,15,22.3,439.25,0.135416667,3.25
SAME8,SAME,8,T,3,15,9.281,376.5,0.122916667,2.95
SAME9,SAME,9,C,5,15,5.949,439.25,0.165277778,3.966666667
SAME10,SAME,10,T,12,15,7.119,502,0.153472222,3.683333333
SAME11,SAME,11,C,13,15,8.657,753,0.16875,4.05
SAME12,SAME,12,T,25,20,10.121,502,0.186805556,4.483333333
SAME14,SAME,14,T,,,,0,0.125694444,3.016666667
